default,student,balance,income
No,No,1709.69,51093.81
No,No,1019.1,7581.48
No,No,2348.04,40325.72
No,No,1188.79,49592.74
No,No,1219.31,49290.44
No,No,1750.72,62937.98
No,No,1236.41,23167.43
No,No,1658.39,79646.17
No,Yes,1459.73,67574.84
Yes,No,2152.92,54404.79
No,No,1435.43,31693.59
No,Yes,1327.87,20985.58
No,No,1702.28,69808.81
No,No,789.71,42044.43
No,No,1760.31,52189.51
No,Yes,1694.03,55778.64
No,No,1803.76,62421.9
No,Yes,1643.72,24667.24
No,No,926.6,38548.81
No,No,1550.91,34532.24
No,Yes,1622.23,41395.18
No,Yes,1563.65,33732.16
No,Yes,218.37,33370.67
No,No,1312.99,32003.3
No,No,1396.19,37991.43
No,No,1856.31,24160.2
No,Yes,1642.98,78351.86
No,No,1631.5,46306.47
No,No,1512.01,39066.74
No,No,1699.0,31797.43
No,No,1617.91,37810.03
No,Yes,1207.75,17525.32
No,Yes,1286.83,54915.68
Yes,No,1458.52,35303.08
No,No,1156.39,19629.67
No,Yes,1582.29,44920.8
No,No,1060.64,48425.78
No,No,1197.43,51890.94
No,No,1011.29,29626.01
No,No,1477.04,41842.67
No,No,1508.06,69467.32
No,No,1775.55,50888.93
No,No,1072.41,32286.11
No,No,1902.01,67443.61
No,No,1435.1,45657.29
No,No,1651.43,33324.7
No,No,1044.56,43329.29
No,No,1033.63,66561.24
No,Yes,1326.81,43474.3
No,No,1007.48,49730.02
No,No,806.94,56781.39
No,No,2637.26,43954.36
No,No,1175.22,54830.87
No,No,1870.18,31814.22
No,Yes,1114.91,78320.43
No,Yes,1502.41,35742.97
No,Yes,1880.19,52761.53
No,No,1917.13,26831.02
No,No,1827.05,58353.45
No,No,1423.09,17316.29
No,No,1423.5,62886.95
No,No,1437.43,57877.66
No,No,1676.2,50164.89
No,Yes,1613.01,34670.8
No,No,2090.66,68406.47
No,Yes,973.44,22471.22
No,No,1756.07,39093.15
No,No,2279.24,67673.09
No,No,1289.5,65565.96
Yes,Yes,2036.38,43896.72
No,Yes,1455.38,30662.26
No,No,2414.53,26190.53
No,Yes,1049.47,63507.42
No,Yes,1522.98,40582.92
No,No,1906.48,35781.95
No,Yes,1132.89,56372.41
No,Yes,1615.93,53351.33
No,No,1249.85,44632.55
No,No,1621.87,57317.77
No,Yes,935.68,43724.17
No,No,1281.4,30907.9
No,No,1501.11,43479.93
No,No,1383.32,33374.81
No,Yes,1107.4,50772.71
No,No,1394.58,68741.82
No,Yes,2058.16,29592.61
No,No,1923.63,38895.21
No,Yes,1249.37,63206.71
No,No,1628.48,31934.55
No,No,1421.58,38566.18
No,No,1125.86,48877.39
No,Yes,1151.91,39830.85
No,Yes,1535.7,81505.22
No,No,2030.03,60169.63
No,No,1992.98,43223.42
No,Yes,835.2,54864.75
No,No,736.9,62852.57
No,Yes,1438.68,47897.08
No,No,1861.67,49452.84
No,No,1935.7,42561.28
No,Yes,2021.44,17923.15
No,No,1393.07,44187.46
No,No,1275.1,34667.89
No,No,2131.2,39183.09
No,Yes,2015.69,62227.17
No,Yes,1432.16,53632.36
No,No,763.91,41251.49
No,Yes,1127.58,51213.77
No,Yes,1955.76,26484.39
No,Yes,928.05,59450.45
Yes,No,1860.14,41091.15
No,No,1148.56,33882.37
No,No,1754.01,35366.8
Yes,No,1724.99,55652.29
No,No,993.25,31807.33
No,No,1723.23,59664.07
No,No,1631.09,21052.95
No,No,1003.05,38625.31
No,Yes,1412.33,59924.4
No,No,1798.41,38869.16
Yes,No,1514.8,41272.61
No,No,1893.86,52642.64
No,No,2257.36,46028.61
No,No,1943.5,37453.26
Yes,No,1131.21,53885.33
No,Yes,956.5,50191.59
No,No,1641.47,52359.58
No,Yes,1952.6,52668.59
No,Yes,1118.89,24949.46
No,No,1526.47,55993.12
No,No,1081.77,21324.71
No,Yes,1523.73,36898.12
No,Yes,2309.75,26306.24
No,No,1256.04,49971.62
No,No,1340.32,34209.81
No,Yes,691.72,57453.62
Yes,Yes,1425.57,46418.07
Yes,No,1429.37,61246.54
No,Yes,1911.58,42388.84
No,No,971.22,42170.56
No,No,1441.73,22946.32
No,No,1465.04,52781.91
No,No,943.68,68192.52
No,No,2312.73,20909.25
No,No,1229.11,49153.13
No,No,1198.71,60574.35
No,No,1922.9,47709.81
No,No,1907.33,31777.78
No,No,1501.86,39069.79
No,No,1514.21,71197.73
No,No,892.74,35179.76
No,Yes,1376.5,50720.48
No,Yes,1112.91,47020.99
No,No,1193.81,53443.1
No,No,951.86,56554.07
No,Yes,1036.4,38593.49
No,No,1292.22,61766.09
No,No,1342.66,29921.89
No,No,1531.48,74452.44
No,No,1693.66,58447.92
Yes,No,1210.89,37490.81
Yes,Yes,806.66,46510.08
No,Yes,1865.43,42457.06
No,Yes,1716.92,32413.95
No,No,512.8,47116.83
No,No,1493.28,62097.53
No,Yes,1759.79,48415.15
No,No,1234.39,49494.21
No,No,1154.79,26195.68
No,No,898.63,26371.95
No,No,1334.22,55382.28
No,No,1521.5,65117.91
No,No,1283.68,50893.25
No,No,1768.86,35113.78
No,Yes,1918.33,43318.55
No,No,1297.79,34708.95
No,No,2307.99,68911.74
No,No,1716.53,56640.46
No,No,1517.43,34222.5
No,Yes,1107.24,34739.28
No,No,1811.98,36616.05
No,No,1507.64,45623.14
No,Yes,903.99,54908.64
No,Yes,1011.65,59365.85
No,No,1505.93,43424.93
No,No,1858.99,42527.9
No,No,931.81,44448.89
No,Yes,1867.02,22880.79
No,Yes,1481.57,39195.9
No,No,1108.07,16988.46
No,No,1332.18,55977.84
No,No,1338.99,31962.45
No,No,1266.9,28690.88
No,No,1830.09,35070.86
No,Yes,1855.59,59418.9
No,No,1830.64,47808.37
No,No,1153.64,19339.19
No,No,1487.17,27502.74
No,No,967.94,41507.06
No,Yes,1368.91,48370.22
No,No,966.56,41812.13
No,No,1906.49,35307.12
No,No,1239.03,39479.3
No,No,1557.99,57122.2
No,No,1802.31,42148.1
No,No,1688.99,32082.04
No,Yes,1233.51,34924.87
No,Yes,1432.97,55874.94
No,No,2071.82,89583.0
No,No,1388.47,56810.47
No,Yes,636.14,40974.12
No,No,1554.83,20912.82
No,No,1865.38,66591.59
No,Yes,1741.76,57876.27
No,Yes,1365.4,59734.58
No,No,2085.21,31486.46
No,No,1387.39,41629.34
No,No,1789.79,40357.28
No,Yes,1442.49,72075.46
No,No,1506.61,53274.72
No,No,2023.03,37995.4
No,No,1233.82,71102.06
No,No,735.22,56211.03
No,Yes,1445.55,31731.43
No,Yes,1763.7,30517.88
No,No,1567.54,53925.13
No,No,1383.72,44397.16
No,No,1288.88,33889.68
No,No,1959.3,19271.47
No,Yes,1893.92,45874.55
No,No,1970.95,46467.07
No,No,1912.33,34050.96
No,Yes,1365.18,32029.06
No,No,834.02,32472.19
No,No,956.84,35061.0
No,Yes,1944.33,38874.48
No,Yes,1601.68,42521.8
No,Yes,1860.66,11233.4
No,No,1366.12,64005.46
No,No,2084.67,13777.7
No,No,1876.67,52219.62
No,Yes,1257.77,49806.32
No,No,1520.72,36112.53
No,No,1490.61,32778.59
No,Yes,1749.04,41266.19
No,No,1212.12,63357.08
No,Yes,1540.41,49396.44
No,Yes,1378.45,44554.66
No,No,2407.71,27265.02
No,No,1290.8,22206.22
No,No,2061.63,49141.75
No,Yes,1725.72,16400.3
No,No,1677.17,65532.67
No,No,1448.84,39216.86
No,No,1553.54,60291.81
No,No,1386.36,38570.32
No,No,889.6,60770.63
No,No,1372.08,38414.67
No,No,1393.66,41340.54
No,Yes,1227.23,29470.65
No,Yes,2283.81,67410.8
No,Yes,1585.96,48049.91
No,No,1466.76,53630.77
No,No,2084.41,61214.18
No,Yes,828.93,44793.75
No,Yes,1299.81,45839.2
No,No,2287.27,47079.67
No,Yes,1205.32,49812.59
No,No,1596.33,20303.57
No,No,1241.99,41970.67
No,No,2420.02,63234.76
No,No,1368.34,51932.74
No,Yes,1039.79,29958.23
No,Yes,1150.71,46124.08
No,No,1210.24,55408.11
No,No,1511.15,35598.15
No,Yes,1368.33,48825.32
No,Yes,1773.74,68438.89
No,No,1878.85,37745.88
No,No,1435.48,60072.91
No,Yes,1474.76,45176.92
No,No,2129.25,44421.28
No,No,1885.94,49742.1
No,No,1757.11,35563.61
No,No,1387.37,60043.15
No,No,879.85,34363.31
No,No,1053.7,56055.5
No,No,1292.6,38560.66
No,No,1711.64,32665.14
No,Yes,1281.94,59308.37
No,No,1869.63,52658.13
No,No,1376.17,18872.43
No,Yes,1977.42,55280.71
No,No,1445.85,57394.03
No,No,1909.95,16777.99
No,Yes,1576.32,59283.95
No,Yes,1095.61,54192.21
No,No,1200.34,46490.34
No,No,850.87,45911.71
No,No,1010.38,37605.5
No,No,1134.55,21216.87
No,Yes,2066.09,36369.7
No,Yes,1278.15,54267.8
No,Yes,1033.84,50780.51
No,Yes,1692.48,43011.72
Yes,No,1422.46,82102.05
No,No,1275.26,55696.54
No,No,1486.42,24804.15
No,No,991.72,26380.39
No,No,2086.37,73563.84
No,No,1106.39,36433.98
No,Yes,1054.71,41205.46
No,No,1023.06,53425.66
No,Yes,1177.47,67143.61
No,Yes,1458.88,80705.23
No,No,1534.36,31314.24
No,Yes,1111.93,53993.67
No,No,1290.83,56571.34
Yes,Yes,1408.37,48984.48
No,No,824.57,27907.14
No,No,1750.84,54547.3
No,Yes,1198.54,63808.85
No,No,1810.52,52712.01
No,No,1843.37,57200.18
No,No,1548.24,31668.77
No,No,1396.54,51127.18
No,No,733.19,62324.06
No,No,2398.89,61656.91
Yes,No,1377.48,27596.45
No,No,1724.41,55962.56
No,No,1995.23,41877.84
No,Yes,1421.45,41052.63
No,No,1116.72,48497.11
No,No,2397.71,44205.45
No,No,2024.5,36922.79
No,No,1318.51,60939.93
No,No,1689.16,46663.21
No,No,1384.14,74657.74
No,Yes,1438.34,59731.49
Yes,Yes,1385.31,41858.54
No,No,1294.66,31027.15
No,No,1087.68,47134.08
No,Yes,1156.05,20576.23
No,No,1527.26,36053.6
No,No,2155.63,31991.73
No,No,2358.47,54822.35
No,No,1861.62,41279.24
No,No,1642.35,48289.55
No,No,1492.17,47926.71
No,No,1644.98,36296.56
No,No,1305.61,50051.28
No,No,1324.23,27422.52
No,No,769.11,68040.36
No,No,2155.64,48374.19
No,No,2185.97,50659.78
No,Yes,1724.98,20346.5
No,No,1882.55,38853.48
No,Yes,1586.96,49974.59
No,No,1463.1,56163.52
No,No,1131.87,43924.96
No,Yes,1740.41,51204.06
No,No,1032.26,30125.62
No,Yes,2017.55,66691.82
No,No,847.07,28462.31
No,Yes,1915.7,64636.1
No,No,1451.0,45566.33
No,No,1972.29,23242.66
No,No,1312.93,81154.11
No,Yes,1423.51,18294.13
No,No,1281.85,63105.01
No,No,1284.79,36856.65
No,Yes,1866.1,30474.56
No,No,1482.01,72434.18
No,No,976.17,57569.72
No,No,1381.5,16320.74
No,No,1366.66,48908.2
No,No,1638.98,34156.04
No,Yes,1755.57,25461.06
No,No,1997.06,31732.71
No,Yes,1149.01,41973.77
No,Yes,1637.44,59058.23
No,Yes,1019.07,55734.55
No,Yes,1663.75,64158.46
Yes,Yes,2295.52,44162.06
No,No,1279.73,47839.51
No,No,1220.98,48592.35
No,Yes,1919.19,39987.26
No,No,986.84,40900.58
No,Yes,1926.21,55724.31
No,No,1454.1,58251.88
No,No,1599.74,23631.61
No,No,1427.29,55901.37
No,No,1098.52,48111.85
No,No,1354.95,35038.57
No,No,1682.42,27070.64
No,No,1939.34,47687.9
No,No,1043.91,45017.17
No,No,1149.73,46659.59
No,No,1714.96,39555.14
No,No,1466.77,30276.49
No,No,1605.06,23689.67
No,No,428.35,62779.53
No,Yes,1737.09,51541.89
No,Yes,1513.06,37910.67
No,No,1779.02,41423.1
No,No,1648.65,38578.58
No,No,1197.07,52612.29
No,Yes,1140.94,48283.11
No,No,1228.94,61228.43
No,No,998.17,54449.31
No,No,2004.45,43565.49
No,No,1032.13,57274.28
No,No,1815.33,49145.08
No,No,1469.86,49588.25
No,Yes,1243.94,31280.39
No,No,1285.06,37680.8
No,No,1855.85,57487.71
Yes,No,1687.21,60903.43
No,No,1012.81,22924.6
No,Yes,1885.11,68815.95
No,No,1361.99,26482.37
No,No,1612.67,83681.28
No,No,942.07,53055.25
No,Yes,1387.2,46948.84
No,Yes,1978.62,64884.68
No,Yes,1483.1,40432.65
Yes,No,1939.73,38375.34
No,Yes,1278.52,44966.81
No,Yes,1797.45,37568.73
No,No,1876.19,64241.56
No,Yes,1759.87,19969.55
No,No,794.58,64524.06
No,No,1745.85,60252.7
No,Yes,821.87,58216.65
No,No,1655.04,39676.1
No,Yes,1347.72,43946.61
No,Yes,1366.37,44812.23
No,No,2463.92,14725.52
No,No,1309.66,48416.31
No,Yes,1903.39,68225.96
No,No,1375.95,29994.19
No,No,1905.97,52402.94
No,No,1492.16,36470.19
No,Yes,715.73,56380.96
No,No,1111.34,57458.16
No,Yes,1582.68,49006.15
No,Yes,1092.23,25831.72
No,Yes,1356.81,53819.25
No,No,1468.41,40039.71
No,No,1526.62,55851.16
No,No,1727.02,24730.68
No,No,1357.52,61725.56
No,No,1600.32,41936.06
No,Yes,1716.76,34674.75
No,No,1421.95,54476.09
No,No,961.3,50882.14
No,No,1271.87,50483.69
No,Yes,1867.31,59297.31
No,No,1650.47,47341.59
No,Yes,1016.49,36116.59
No,Yes,1712.32,32797.33
No,No,1836.22,30849.69
No,No,1871.56,55970.34
No,No,1905.06,58973.02
No,No,1453.69,33904.8
No,Yes,1768.38,23055.69
No,No,1185.76,34717.23
No,No,1525.47,39229.5
No,No,2130.77,18069.89
No,No,1499.53,6635.82
No,No,1433.21,44666.98
No,No,1469.81,57710.19
No,No,1333.22,34340.71
No,No,1637.48,49546.31
No,No,1907.1,53565.44
No,Yes,1737.44,40031.7
No,No,1685.12,20123.73
No,Yes,1013.28,21484.34
No,No,1680.5,32712.45
No,No,1566.84,53589.15
No,Yes,933.89,46142.3
Yes,No,1865.59,56438.7
No,No,1179.05,43657.51
No,Yes,1070.45,69824.95
No,No,1870.29,43182.7
No,Yes,1373.63,31794.57
No,No,1695.6,31950.33
No,Yes,1746.08,50848.35
No,No,1595.86,45322.19
No,Yes,1297.57,26074.0
No,No,2095.97,20145.77
No,No,1355.1,54853.91
No,No,1618.41,48718.27
No,Yes,1719.61,29312.22
No,No,1964.21,41212.33
No,No,1314.85,19001.91
No,No,1501.11,60997.23
No,No,1244.98,29517.41
No,Yes,2453.95,29891.05
No,No,1647.95,29849.11
No,No,905.79,37256.65
No,Yes,1547.42,33737.7
No,No,1142.34,42075.05
No,Yes,994.31,73729.81
No,No,1825.16,52111.6
No,Yes,1528.65,35480.01
No,No,1123.45,66834.12
No,No,1670.46,33480.42
No,No,1427.83,48382.4
No,No,1075.59,54559.7
No,No,432.98,40668.51
No,No,1857.15,26872.63
No,No,1387.52,35405.4
No,No,1317.68,43154.77
No,No,1596.85,46951.67
No,Yes,1164.54,26135.61
No,No,1610.28,41228.8
No,No,1442.71,71728.48
No,No,1940.94,30893.17
No,No,1697.99,49561.24
No,No,1201.91,47356.13
No,No,1160.74,44051.01
No,No,1788.13,63011.95
No,Yes,1546.57,15003.82
No,No,1336.21,42261.77
No,Yes,1145.85,31523.47
No,No,1333.45,46233.06
No,Yes,1635.72,34112.19
No,No,1157.21,50051.3
No,No,2184.02,46447.63
No,No,1234.65,57419.39
No,No,1604.12,36880.95
No,No,628.25,31888.2
No,Yes,1067.93,50814.29
No,No,1655.3,29370.64
No,Yes,1575.98,60036.44
No,No,1891.07,49177.97
No,Yes,1205.02,32178.19
No,No,1193.62,40320.41
No,No,606.93,19192.88
No,No,986.35,35693.4
No,Yes,1405.64,53279.66
No,No,1253.97,56002.61
No,No,1923.34,42884.93
No,No,1218.45,30950.7
No,No,1641.73,45365.43
No,Yes,1300.84,61058.93
Yes,No,972.35,36642.57
No,Yes,1577.26,81823.9
No,No,947.7,19516.1
No,Yes,2048.28,30948.41
No,Yes,1042.69,42899.87
No,No,1935.92,54707.25
Yes,No,1469.61,30575.36
No,No,1285.18,40943.68
No,No,2212.85,63085.29
No,No,1551.15,29109.97
No,No,919.55,39739.95
No,No,1556.37,48555.2
No,No,1326.16,29559.27
No,No,1709.33,67052.1
No,No,1752.08,50179.41
No,No,1491.28,55992.35
No,Yes,1847.02,40115.26
Yes,Yes,556.99,29715.93
No,Yes,2182.76,55320.2
No,No,1138.85,39694.93
No,No,2322.18,51409.96
No,No,1886.57,65561.07
No,No,1698.66,23506.64
No,No,1859.73,29020.47
No,No,1505.75,45677.97
No,No,1816.37,46375.34
No,No,2299.39,24853.27
No,No,1926.41,80974.27
No,No,1343.1,58707.61
No,No,1112.96,34673.21
No,No,1077.43,33743.18
No,No,259.13,59301.7
No,Yes,1432.12,44713.4
No,Yes,1579.47,45986.66
No,No,1400.39,40515.75
No,Yes,1133.97,58760.05
No,No,1225.89,61008.17
No,No,1105.1,45813.72
No,No,1658.83,42221.53
No,No,1756.32,63407.25
No,No,1710.7,43996.5
Yes,No,493.83,46676.99
No,No,1612.14,70087.01
No,No,1528.73,44883.2
No,No,1178.06,43849.54
No,No,1530.89,63009.24
No,No,1322.69,41875.38
No,Yes,1318.07,36920.12
Yes,No,849.5,58630.47
No,No,1395.69,36049.7
No,No,1270.17,56000.59
No,No,1495.09,34617.34
No,No,1158.54,48555.22
No,No,2265.71,49228.51
No,Yes,1758.89,29979.64
No,Yes,1185.15,38440.04
No,Yes,2173.18,65077.83
No,Yes,1735.16,30059.95
No,Yes,1593.16,40560.51
No,No,1585.1,42054.15
No,No,1143.71,89904.26
No,No,1110.01,65597.88
No,Yes,1470.21,27734.52
Yes,No,1733.7,20877.98
No,No,1459.33,58500.98
No,No,1931.63,56613.31
No,No,1416.04,41232.61
No,No,1263.15,81135.01
No,Yes,1584.55,50484.78
No,No,2433.49,42184.45
No,Yes,1289.28,77924.11
No,No,1967.23,14093.23
No,No,2201.13,45925.98
No,No,1091.2,50749.64
No,Yes,1365.03,17287.84
No,Yes,1047.52,66748.9
No,No,1713.42,52148.41
No,No,1195.21,27144.24
No,No,2467.33,29582.91
No,No,1918.82,50830.43
No,No,1562.81,48734.79
No,No,1002.14,45070.4
No,No,1682.03,40035.81
No,No,1610.92,41919.94
No,No,1302.19,32752.72
No,Yes,1330.76,49366.65
No,No,1268.67,70347.24
No,No,2020.06,46652.85
No,No,890.35,3914.3
No,No,1701.47,87430.75
No,No,2390.97,43807.91
No,No,1625.42,44039.26
No,No,2130.16,33455.17
No,Yes,1506.74,60640.64
No,No,996.53,63943.29
No,No,1836.25,19659.64
No,No,964.79,45272.04
No,Yes,1860.28,74285.16
No,Yes,1606.61,48343.44
No,No,1258.32,8832.46
No,No,1774.08,42054.51
No,No,954.39,44947.19
No,No,1207.02,17273.51
No,No,1492.28,47823.9
Yes,No,1644.61,31699.28
No,No,1434.34,24402.64
No,No,1636.74,8315.22
No,Yes,583.58,24814.78
No,No,1181.41,74513.77
No,No,2025.23,29283.15
No,No,1452.29,28288.41
No,No,1574.5,37412.11
No,No,832.12,40624.85
No,No,1044.9,51967.33
No,No,1076.91,43960.2
No,No,1341.48,51735.38
No,No,2354.58,68973.92
No,No,1836.38,38293.5
No,No,1639.41,59817.59
No,No,1770.47,27459.87
No,No,1810.73,35248.83
Yes,No,1806.35,76233.63
No,Yes,1087.31,45043.07
No,No,1078.73,42272.81
No,No,1268.54,33788.66
No,No,1690.06,37738.81
No,No,1675.01,58976.81
No,No,1503.35,19641.74
No,No,1464.53,52451.83
No,Yes,1544.17,38520.7
No,No,1835.6,34036.59
No,No,1278.3,55903.15
No,No,1558.51,30525.82
No,No,1593.02,57285.9
No,No,1079.38,31965.6
No,No,1874.01,48130.16
No,No,2122.49,49270.76
Yes,No,1473.47,39243.51
No,No,595.32,41216.5
No,No,1889.11,40162.8
No,No,1863.53,68035.16
No,No,1937.72,44999.96
No,No,1220.0,48927.1
No,Yes,1582.78,69972.4
No,Yes,863.22,41645.22
No,No,1674.16,61645.74
No,No,1694.35,50494.03
No,No,1928.3,40239.44
No,No,2321.03,58828.44
No,No,901.34,44613.55
No,No,2062.77,62511.91
No,No,1620.44,31378.57
No,No,1061.47,45706.24
No,No,1255.36,28391.61
No,Yes,1940.67,48039.55
No,No,1065.63,49644.2
No,No,923.45,52674.05
No,No,1495.49,51360.1
No,Yes,473.66,44292.52
No,No,1883.36,40891.65
No,No,1833.9,58741.0
No,Yes,2172.2,31329.99
No,No,2025.46,45028.41
No,Yes,1416.44,65896.89
No,No,1632.01,57423.13
No,No,982.22,70932.39
No,No,1595.98,20306.31
No,Yes,1183.74,48885.61
No,No,1502.21,39348.25
No,No,1783.56,67609.42
No,No,1590.57,27719.77
No,No,1605.79,13601.2
No,No,493.24,36466.6
No,Yes,1909.33,26614.88
No,Yes,1699.43,54618.02
No,No,1997.66,45529.85
No,Yes,1257.0,50342.84
No,No,1723.17,40413.55
No,Yes,1907.66,74508.42
No,No,1770.52,62681.27
No,No,1147.81,53394.89
No,No,1582.96,32905.12
No,No,1190.96,46644.29
No,No,1537.34,48722.8
No,No,1693.51,39486.94
No,No,2093.42,48291.4
No,No,890.12,51968.54
No,Yes,1465.79,52579.67
No,No,1279.24,61391.68
No,Yes,1453.59,74037.82
No,No,1045.26,52352.89
No,No,1828.49,58580.38
No,No,1737.71,43853.01
No,Yes,2294.31,67274.62
No,No,1242.84,40726.55
No,Yes,2134.93,28253.59
No,Yes,1773.9,57235.49
No,Yes,1534.95,26701.76
No,No,807.31,32260.57
No,No,1641.71,42213.58
No,No,1160.54,56933.65
No,Yes,1553.59,62641.04
No,Yes,1300.04,52680.39
No,Yes,1276.07,72539.54
Yes,Yes,1947.3,33468.96
No,No,1851.75,27231.57
No,Yes,1417.07,32845.13
No,No,2177.56,39983.6
No,No,1714.76,13075.53
No,No,1486.6,41171.79
No,No,1925.63,54335.5
No,No,1755.21,53656.28
No,No,1398.14,49956.34
Yes,Yes,1731.75,41630.24
No,No,1092.6,19299.49
No,Yes,1651.79,54987.11
No,No,1372.53,67999.26
No,No,796.81,14761.85
No,No,2081.61,41788.59
No,No,1433.24,33796.43
No,No,1640.68,44794.69
No,No,2032.53,52050.54
No,No,852.11,27665.73
No,Yes,1898.74,21296.47
No,No,1970.98,46775.76
No,Yes,1904.01,56541.59
No,Yes,1675.45,44468.7
No,No,1032.17,23177.72
No,No,1073.9,21459.26
No,No,1873.44,40074.62
No,Yes,1431.66,39894.08
No,No,1892.75,53917.08
No,No,967.54,33292.76
No,No,1193.91,6061.28
No,Yes,1222.93,46589.72
No,No,1453.7,30118.12
No,No,2186.58,58676.7
No,No,1018.41,35810.01
No,No,1846.89,62732.64
Yes,No,1096.48,56035.51
No,No,1347.85,62417.15
No,Yes,646.53,29367.14
No,No,1346.15,31457.85
No,Yes,1162.75,53555.32
No,No,1557.01,31766.28
No,No,1955.59,49951.7
No,Yes,1675.65,26602.6
No,Yes,1836.68,29117.71
No,No,674.7,8366.2
No,No,1683.34,45593.81
No,No,1733.82,67529.19
No,No,1230.27,48441.39
No,No,1487.57,20875.87
No,No,1974.87,39363.99
No,No,1896.94,48250.47
No,No,1717.07,49658.47
No,No,1995.99,33005.56
No,Yes,1457.16,62556.3
No,No,1943.66,58618.32
No,No,2107.88,76981.04
No,No,1490.69,67454.92
No,Yes,1749.89,28846.09
No,No,1413.89,50617.85
Yes,Yes,1337.45,72219.74
No,Yes,1831.53,49274.85
No,No,1758.87,52964.84
No,No,1476.87,42399.29
No,Yes,1424.43,45686.21
No,Yes,2418.6,41048.07
No,No,2185.44,46418.65
No,No,1408.55,40352.4
No,No,1835.05,25029.67
No,No,1977.44,56601.39
No,Yes,1260.91,23496.76
No,No,1588.86,30306.03
No,No,1880.8,8999.85
No,No,1774.9,29176.62
No,No,1750.76,51667.93
No,No,1529.68,75697.23
No,Yes,1566.56,13165.65
No,No,1399.11,52410.02
No,Yes,1459.37,56101.25
No,No,1020.48,22404.5
No,No,1586.1,59605.96
Yes,No,1699.09,39845.64
No,No,1684.1,48982.93
No,No,2450.31,41276.84
No,No,785.96,47561.93
No,No,1537.25,62238.54
No,Yes,1389.27,53500.8
No,No,1918.74,26072.42
No,No,1140.44,49834.56
No,No,1204.95,48458.17
No,No,1130.26,40025.49
No,No,1552.08,37091.17
No,No,1149.5,70119.33
No,Yes,2118.56,38808.86
No,No,1709.57,54411.51
No,No,1442.68,14709.93
No,Yes,1303.0,32423.63
No,No,1545.1,46907.47
No,No,1571.61,40930.84
No,Yes,1364.08,78797.92
No,No,1371.08,71046.53
No,No,1003.44,24090.21
No,No,1383.85,45073.28
No,Yes,1843.3,21527.79
No,No,1543.09,55166.04
No,Yes,1748.5,27145.41
No,No,899.37,44448.8
No,No,1402.3,47696.12
No,No,1724.44,47639.82
No,Yes,1051.79,27563.4
No,No,1521.04,57983.65
No,Yes,1628.15,67224.5
No,No,1287.63,28404.02
No,No,1858.74,47761.14
No,Yes,1493.07,38206.14
Yes,Yes,2155.25,20133.1
No,No,755.85,57839.04
No,No,2072.43,50006.53
Yes,No,932.28,69423.81
No,No,1215.31,15004.65
No,No,1472.58,29930.31
No,No,1263.85,48710.07
Yes,No,2382.7,38536.66
No,No,878.42,13963.99
No,Yes,1070.53,60341.22
No,No,1343.43,34626.83
No,No,1204.22,26963.3
No,No,1811.02,50045.61
No,No,1911.24,46950.86
No,No,1015.8,50986.41
No,No,1617.82,17929.96
No,No,1576.78,68990.8
No,No,1381.31,37582.95
No,No,1141.26,33823.93
No,No,891.36,19592.3
No,No,1071.84,29033.76
No,Yes,871.67,43121.95
No,Yes,1676.92,36893.26
No,Yes,1589.95,59667.91
No,No,1548.98,10933.6
No,No,1801.85,70411.28
No,No,1061.87,36398.73
No,No,1691.59,28453.48
No,No,1690.32,49136.64
No,No,1149.05,56727.64
No,No,1590.7,34392.18
No,No,1315.77,54952.48
No,No,1652.2,47632.81
No,No,1740.44,36319.77
Yes,No,1733.27,34448.23
No,No,1372.24,36867.77
No,No,1000.24,46316.07
No,No,2100.55,38941.83
No,No,1452.93,43103.79
No,No,1309.36,43949.69
Yes,No,1721.92,40735.5
No,No,1989.61,24844.24
No,Yes,1376.83,44292.16
No,No,1036.69,18282.49
No,No,1645.78,41548.73
No,No,1212.41,40175.61
No,Yes,1579.93,33619.25
No,No,1857.96,49007.57
No,Yes,1807.79,35715.89
No,Yes,1294.21,54047.85
No,No,2119.13,39818.93
No,No,1929.89,73940.79
No,No,1626.97,57677.53
No,No,941.36,33831.17
No,Yes,1247.99,30051.64
No,No,1693.66,2061.89
No,No,1173.9,46341.96
No,No,1886.15,29341.33
No,No,1367.28,44328.01
No,Yes,1908.43,52887.05
No,No,1886.55,53765.67
No,Yes,1427.29,23846.33
No,No,1421.13,59022.41
No,Yes,1405.44,45660.82
No,No,1200.89,50370.54
No,Yes,1250.98,38137.04
No,No,1499.33,52216.24
No,No,1756.39,58770.86
No,Yes,824.35,39725.78
No,Yes,1426.64,52918.51
No,No,1735.07,40322.68
No,No,888.17,38872.14
No,No,1587.41,9667.31
No,No,2095.86,50520.17
No,No,1259.73,47665.41
No,No,957.88,53276.76
No,Yes,778.14,52020.06
No,No,1882.79,20814.35
No,No,715.74,42585.97
No,Yes,2116.28,59189.7
No,No,1247.03,59370.22
No,No,1620.31,67825.96
No,Yes,1384.54,66172.56
No,No,1828.61,84722.13
No,No,1140.64,29283.79
No,No,2216.67,35951.78
No,No,1317.28,28147.14
No,Yes,1201.11,60705.94
No,No,1270.47,53276.7
No,No,1248.66,50012.07
No,No,2332.71,44401.84
No,No,2151.67,34182.94
No,No,1475.11,32835.83
No,Yes,980.49,58717.34
No,No,1684.4,37210.94
No,No,1490.69,17947.56
No,No,1434.15,45469.23
